id,name,normdaten,verweis_innerhalb_szdper
SZDPER.294,"Demelius, Margarethe",http://d-nb.info/gnd/116068949,nein
SZDPER.295,"Demelius, Ottilie",http://d-nb.info/gnd/1151959049,nein
SZDPER.307,"Dollfuß, Engelbert",http://d-nb.info/gnd/118526561 http://www.wikidata.org/entity/Q11734 https://de.wikipedia.org/wiki/Engelbert_Dollfu%C3%9F,nein
SZDPER.309,Donatello,http://d-nb.info/gnd/118526693 http://www.wikidata.org/entity/Q37562 https://de.wikipedia.org/wiki/Donatello,nein
SZDPER.315,"Dreyfus, Alfred",http://d-nb.info/gnd/118527460 http://www.wikidata.org/entity/Q171826 https://de.wikipedia.org/wiki/Alfred_Dreyfus,nein
SZDPER.325,"Duncan, Isadora",http://d-nb.info/gnd/118528122 http://www.wikidata.org/entity/Q483512 https://de.wikipedia.org/wiki/Isadora_Duncan,nein
SZDPER.328,"Duse, Eleonora",http://d-nb.info/gnd/118681354 http://www.wikidata.org/entity/Q275970 https://de.wikipedia.org/wiki/Eleonora_Duse,nein
SZDPER.329,"Duvernois, Henri",http://d-nb.info/gnd/10233272X http://www.wikidata.org/entity/Q1392751 https://de.wikipedia.org/wiki/Henri_Duvernois,nein
SZDPER.330,"Dvořák, Antonín",http://d-nb.info/gnd/11852836X http://www.wikidata.org/entity/Q7298 https://de.wikipedia.org/wiki/Anton%C3%ADn_Dvo%C5%99%C3%A1k,nein
SZDPER.337,"Edison, Thomas A.",http://d-nb.info/gnd/118528912 http://www.wikidata.org/entity/Q8743 https://de.wikipedia.org/wiki/Thomas_Alva_Edison,nein
SZDPER.341,"Annin, Robert Edwards",,nein
SZDPER.345,"Ehrlich, Paul",http://d-nb.info/gnd/118529358 http://www.wikidata.org/entity/Q57089 https://de.wikipedia.org/wiki/Paul_Ehrlich,nein
SZDPER.349,"Eiffel, Gustave",http://d-nb.info/gnd/118688340 http://www.wikidata.org/entity/Q20882 https://de.wikipedia.org/wiki/Gustave_Eiffel,nein
SZDPER.355,El Greco,http://d-nb.info/gnd/118722778 http://www.wikidata.org/entity/Q301 https://de.wikipedia.org/wiki/El_Greco,nein
SZDPER.356,"Elisabeth, Kaiserin von Österreich",http://d-nb.info/gnd/118529897 http://www.wikidata.org/entity/Q150782 https://de.wikipedia.org/wiki/Elisabeth_von_%C3%96sterreich-Ungarn,nein
SZDPER.357,"Elisabeth I., Königin von England",http://d-nb.info/gnd/118529870 http://www.wikidata.org/entity/Q7207 https://de.wikipedia.org/wiki/Elisabeth_I.,nein
SZDPER.362,"Ensor, James",http://d-nb.info/gnd/11853050X http://www.wikidata.org/entity/Q158840 https://de.wikipedia.org/wiki/James_Ensor,nein
SZDPER.365,"Erdődy, Anna Maria",http://d-nb.info/gnd/137543662 http://www.wikidata.org/entity/Q6465739 https://de.wikipedia.org/wiki/Marie_von_Erd%C5%91dy,nein
SZDPER.366,"Erhardt, Hermann",http://d-nb.info/gnd/1020659785 http://www.wikidata.org/entity/Q97285 https://de.wikipedia.org/wiki/Hermann_Erhardt,nein
SZDPER.367,"Erzberger, Matthias",http://d-nb.info/gnd/11853100X http://www.wikidata.org/entity/Q57755 https://de.wikipedia.org/wiki/Matthias_Erzberger,nein
SZDPER.371,"Eulenburg und Hertefeld, Philipp zu",http://d-nb.info/gnd/118531352 http://www.wikidata.org/entity/Q213964 https://de.wikipedia.org/wiki/Philipp_zu_Eulenburg,nein
SZDPER.379,"Falke, Gustav",http://d-nb.info/gnd/118685929 http://www.wikidata.org/entity/Q86443 https://de.wikipedia.org/wiki/Gustav_Falke,nein
SZDPER.380,"Fall, Leo",http://d-nb.info/gnd/116396717 http://www.wikidata.org/entity/Q78585 https://de.wikipedia.org/wiki/Leo_Fall,nein
SZDPER.387,"Ferdinand I., Kaiser von Österreich",http://d-nb.info/gnd/118686747 http://www.wikidata.org/entity/Q183579 https://de.wikipedia.org/wiki/Ferdinand_I._%28%C3%96sterreich%29,nein
SZDPER.391,"Fester, Richard",http://d-nb.info/gnd/116474874 http://www.wikidata.org/entity/Q98141 https://de.wikipedia.org/wiki/Richard_Fester_%28Historiker%29,nein
SZDPER.393,"Fey, Emil",http://d-nb.info/gnd/123555426 http://www.wikidata.org/entity/Q79114 https://de.wikipedia.org/wiki/Emil_Fey,nein
SZDPER.398,"Fischer, Hermann",http://d-nb.info/gnd/128890355 http://www.wikidata.org/entity/Q59711100,nein
SZDPER.419,"Frank von Fürstenwerth, Adolf",http://d-nb.info/gnd/1019478055 http://www.wikidata.org/entity/Q361584 https://de.wikipedia.org/wiki/Adolf_Frank_von_F%C3%BCrstenwerth,nein
SZDPER.422,"Frankl, Fanny",http://d-nb.info/gnd/1153738023,nein
SZDPER.427,"Franz II., Kaiser des Heiligen Römischen Reiches, als Franz I. Kaiser von Österreich",http://d-nb.info/gnd/118534955 http://www.wikidata.org/entity/Q130834 https://de.wikipedia.org/wiki/Franz_II._%28HRR%29,nein
SZDPER.428,"Franz Joseph I., Kaiser von Österreich",http://d-nb.info/gnd/118535013 http://www.wikidata.org/entity/Q51056 https://de.wikipedia.org/wiki/Franz_Joseph_I.,nein
SZDPER.440,"Furtwängler, Wilhelm",http://d-nb.info/gnd/118536931 http://www.wikidata.org/entity/Q57285 https://de.wikipedia.org/wiki/Wilhelm_Furtw%C3%A4ngler,nein
SZDPER.443,"Caesar, Julius",http://d-nb.info/gnd/118518275 http://www.wikidata.org/entity/Q1048 https://de.wikipedia.org/wiki/Gaius_Iulius_Caesar,nein
SZDPER.444,Sueton,http://d-nb.info/gnd/118619918 http://www.wikidata.org/entity/Q10133,nein
SZDPER.447,"Galsworthy, John",http://d-nb.info/gnd/118689371 http://www.wikidata.org/entity/Q82248 https://de.wikipedia.org/wiki/John_Galsworthy,nein
SZDPER.465,"Lloyd George, David",http://d-nb.info/gnd/118573675 http://www.wikidata.org/entity/Q134982 https://de.wikipedia.org/wiki/David_Lloyd_George,nein
SZDPER.468,"Germains, Victor Wallace",http://d-nb.info/gnd/1269611534,nein
SZDPER.472,"Gibbon, Edward",http://d-nb.info/gnd/118717286 http://www.wikidata.org/entity/Q161841 https://de.wikipedia.org/wiki/Edward_Gibbon,nein
SZDPER.479,"Giraudoux, Jean",http://d-nb.info/gnd/118539523 http://www.wikidata.org/entity/Q309974 https://de.wikipedia.org/wiki/Jean_Giraudoux,nein
SZDPER.481,"Glidden, Carlos",http://d-nb.info/gnd/1153744147,nein
SZDPER.483,"Glück, Gustav",http://d-nb.info/gnd/101104340 http://www.wikidata.org/entity/Q214493 https://de.wikipedia.org/wiki/Gustav_Gl%C3%BCck,nein
SZDPER.485,"Goebbels, Joseph",http://d-nb.info/gnd/118540041 http://www.wikidata.org/entity/Q41749 https://de.wikipedia.org/wiki/Joseph_Goebbels,nein
SZDPER.487,"Goethe, Alma von",http://d-nb.info/gnd/118717901 http://www.wikidata.org/entity/Q98873 https://de.wikipedia.org/wiki/Alma_von_Goethe,nein
SZDPER.490,"Goethe, Ottilie von",http://d-nb.info/gnd/118540254 http://www.wikidata.org/entity/Q75568 https://de.wikipedia.org/wiki/Ottilie_von_Goethe,nein
SZDPER.491,"Gogh, Vincent van",http://d-nb.info/gnd/118540416 http://www.wikidata.org/entity/Q5582 https://de.wikipedia.org/wiki/Vincent_van_Gogh,nein
SZDPER.499,"Göring, Hermann",http://d-nb.info/gnd/118540157 http://www.wikidata.org/entity/Q47906 https://de.wikipedia.org/wiki/Hermann_G%C3%B6ring,nein
SZDPER.506,"Goya, Francisco de",http://d-nb.info/gnd/118541064 http://www.wikidata.org/entity/Q5432 https://de.wikipedia.org/wiki/Francisco_de_Goya,nein
SZDPER.518,"Grey, Edward",http://d-nb.info/gnd/118697587 http://www.wikidata.org/entity/Q335187 https://de.wikipedia.org/wiki/Edward_Grey,nein
SZDPER.530,"Grünewald, Matthias",http://d-nb.info/gnd/118542907 http://www.wikidata.org/entity/Q154338 https://de.wikipedia.org/wiki/Matthias_Gr%C3%BCnewald,nein
SZDPER.534,"Gallenberg, Julia von",http://d-nb.info/gnd/136357261 http://www.wikidata.org/entity/Q85760 https://de.wikipedia.org/wiki/Giulietta_Guicciardi,nein
SZDPER.542,"Haber, Fritz",http://d-nb.info/gnd/118699814 http://www.wikidata.org/entity/Q57075 https://de.wikipedia.org/wiki/Fritz_Haber,nein
SZDPER.546,"Halifax, Edward Frederick Lindley Wood of",http://d-nb.info/gnd/118700960 http://www.wikidata.org/entity/Q333426 https://de.wikipedia.org/wiki/Edward_Wood%2C_1._Earl_of_Halifax,nein
SZDPER.555,"Hanslick, Eduard",http://d-nb.info/gnd/118545825 http://www.wikidata.org/entity/Q84246 https://de.wikipedia.org/wiki/Eduard_Hanslick,nein
SZDPER.559,"Hardy, Thomas",http://d-nb.info/gnd/118545930 http://www.wikidata.org/entity/Q132805 https://de.wikipedia.org/wiki/Thomas_Hardy,nein
SZDPER.561,"Hartmann, Eduard von",http://d-nb.info/gnd/118546252 http://www.wikidata.org/entity/Q77057 https://de.wikipedia.org/wiki/Eduard_von_Hartmann,nein
SZDPER.571,"Haushofer, Heinz",http://d-nb.info/gnd/118547100 http://www.wikidata.org/entity/Q1600340 https://de.wikipedia.org/wiki/Heinz_Haushofer,nein
