datei,kontext,zeile,alte_referenz,neue_referenz,aktion
data/Aufsatzablage/SZDESS.xml,SZDESS.81,7344,"author/@ref=""#SZDPER.81""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.82,7437,"author/@ref=""#SZDPER.82""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.83,7531,"author/@ref=""#SZDPER.83""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.84,7627,"author/@ref=""#SZDPER.84""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.85,7724,"author/@ref=""#SZDPER.85""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.87,7901,"author/@ref=""#SZDPER.87""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.89,8080,"author/@ref=""#SZDPER.89""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.91,8258,"author/@ref=""#SZDPER.91""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.92,8356,"author/@ref=""#SZDPER.92""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.93,8452,"author/@ref=""#SZDPER.93""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.96,8726,"author/@ref=""#SZDPER.96""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.97,8822,"author/@ref=""#SZDPER.97""","author/@ref=""#SZDPER.1555""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.98,8903,"author/@ref=""#SZDPER.98""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.100,9095,"author/@ref=""#SZDPER.100""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.102,9276,"author/@ref=""#SZDPER.102""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.104,9455,"author/@ref=""#SZDPER.104""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.106,9631,"author/@ref=""#SZDPER.106""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.107,9727,"author/@ref=""#SZDPER.107""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.108,9804,"author/@ref=""#SZDPER.108""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.109,9900,"author/@ref=""#SZDPER.109""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.110,9985,"author/@ref=""#SZDPER.110""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.112,10169,"author/@ref=""#SZDPER.112""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.114,10349,"author/@ref=""#SZDPER.114""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
data/Aufsatzablage/SZDESS.xml,SZDESS.116,10531,"author/@ref=""#SZDPER.116""","author/@ref=""#SZDPER.1560""",Autorenverweis korrigiert
