layer,kind,old_iri,new_iri,name_source,note
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#ThematischeSammlung,https://gams.uni-graz.at/o:szd.ontology#ThematicCollection,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Tod,https://gams.uni-graz.at/o:szd.ontology#Death,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Typoskript,https://gams.uni-graz.at/o:szd.ontology#Typescript,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Typoskriptdurchschlag,https://gams.uni-graz.at/o:szd.ontology#CarbonCopyTypescript,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Uebersetzungswerk,https://gams.uni-graz.at/o:szd.ontology#TranslationWork,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Umfang,https://gams.uni-graz.at/o:szd.ontology#Extent,GAMS term,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#VorwortNachwort,https://gams.uni-graz.at/o:szd.ontology#ForewordAfterword,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Werk,https://gams.uni-graz.at/o:szd.ontology#WorkIndexEntry,GAMS term,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#WerkExpression,https://gams.uni-graz.at/o:szd.ontology#Expression,LRM,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#Werksammlung,https://gams.uni-graz.at/o:szd.ontology#WorksCollection,English label,
szdo,Class,https://gams.uni-graz.at/o:szd.ontology#WissenschaftlichesEreignis,https://gams.uni-graz.at/o:szd.ontology#ScholarlyEvent,English label,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#anmerkung,https://gams.uni-graz.at/o:szd.ontology#note,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#aufschrift,https://gams.uni-graz.at/o:szd.ontology#identifyingInscription,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#beschreibstoff,https://gams.uni-graz.at/o:szd.ontology#writingMaterial,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#beschreibung,https://gams.uni-graz.at/o:szd.ontology#description,English label,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#bindung,https://gams.uni-graz.at/o:szd.ontology#binding,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#blattanzahl,https://gams.uni-graz.at/o:szd.ontology#leafCount,English label,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#datum,https://gams.uni-graz.at/o:szd.ontology#when,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#entstehungsdatum,https://gams.uni-graz.at/o:szd.ontology#dateOfCreation,English label,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#fruehestensDatum,https://gams.uni-graz.at/o:szd.ontology#notBefore,English label,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#geburtsdatum,https://gams.uni-graz.at/o:szd.ontology#birth,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#kategorie,https://gams.uni-graz.at/o:szd.ontology#category,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#nachname,https://gams.uni-graz.at/o:szd.ontology#surname,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#namensform,https://gams.uni-graz.at/o:szd.ontology#nameVariant,English label,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#objekttyp,https://gams.uni-graz.at/o:szd.ontology#objectType,English label,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#originaltitel,https://gams.uni-graz.at/o:szd.ontology#originaltitle,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#publikationsdatum,https://gams.uni-graz.at/o:szd.ontology#dateOfPublication,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#schreibstoff,https://gams.uni-graz.at/o:szd.ontology#writingInstrument,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#seitenanzahl,https://gams.uni-graz.at/o:szd.ontology#page,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#sicherheitsgrad,https://gams.uni-graz.at/o:szd.ontology#certainty,English label,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#signatur,https://gams.uni-graz.at/o:szd.ontology#signature,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#spaetestensDatum,https://gams.uni-graz.at/o:szd.ontology#notAfter,English label,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#sprache,https://gams.uni-graz.at/o:szd.ontology#language,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#stueckanzahl,https://gams.uni-graz.at/o:szd.ontology#piecesOfCorrespondence,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#titel,https://gams.uni-graz.at/o:szd.ontology#title,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#todesdatum,https://gams.uni-graz.at/o:szd.ontology#death,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#vorname,https://gams.uni-graz.at/o:szd.ontology#forename,GAMS term,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#zeitperiode,https://gams.uni-graz.at/o:szd.ontology#timePeriod,English label,
szdo,DatatypeProperty,https://gams.uni-graz.at/o:szd.ontology#zusammenfassung,https://gams.uni-graz.at/o:szd.ontology#summary,GAMS term,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#betrifftPerson,https://gams.uni-graz.at/o:szd.ontology#concernsPerson,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#datumEvidenz,https://gams.uni-graz.at/o:szd.ontology#dateEvidence,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#enthaelt,https://gams.uni-graz.at/o:szd.ontology#contains,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#enthaeltObjekt,https://gams.uni-graz.at/o:szd.ontology#containsRecord,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatAbsender,https://gams.uni-graz.at/o:szd.ontology#sender,GAMS term,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatAutor,https://gams.uni-graz.at/o:szd.ontology#author,GAMS term,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatBeilage,https://gams.uni-graz.at/o:szd.ontology#enclosures,GAMS term,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatBeteiligten,https://gams.uni-graz.at/o:szd.ontology#partyInvolved,GAMS term,deprecated in v1.2.0
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatBeteiligtenAkteur,https://gams.uni-graz.at/o:szd.ontology#partyInvolved,GAMS term,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatBetroffenePerson,https://gams.uni-graz.at/o:szd.ontology#affectedPerson,GAMS term,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatDigitalesObjekt,https://gams.uni-graz.at/o:szd.ontology#hasDigitalObject,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatEmpfaenger,https://gams.uni-graz.at/o:szd.ontology#receiver,GAMS term,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatEntstehungsort,https://gams.uni-graz.at/o:szd.ontology#hasPlaceOfOrigin,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatExemplar,https://gams.uni-graz.at/o:szd.ontology#hasItem,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatExpression,https://gams.uni-graz.at/o:szd.ontology#hasExpression,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatFaksimile,https://gams.uni-graz.at/o:szd.ontology#hasFacsimile,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatHerausgeber,https://gams.uni-graz.at/o:szd.ontology#editor,GAMS term,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatIllustrator,https://gams.uni-graz.at/o:szd.ontology#illustrator,GAMS term,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatKomponist,https://gams.uni-graz.at/o:szd.ontology#composer,GAMS term,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatManifestation,https://gams.uni-graz.at/o:szd.ontology#hasManifestation,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatManuskriptzeuge,https://gams.uni-graz.at/o:szd.ontology#hasManuscriptWitness,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatMerkmaltyp,https://gams.uni-graz.at/o:szd.ontology#hasFeatureType,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatNachbesitzer,https://gams.uni-graz.at/o:szd.ontology#subsequentOwner,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatNachwortAutor,https://gams.uni-graz.at/o:szd.ontology#writerAfterword,GAMS term,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatOrt,https://gams.uni-graz.at/o:szd.ontology#hasPlace,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatProvenienz,https://gams.uni-graz.at/o:szd.ontology#hasProvenance,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatProvenienzmerkmal,https://gams.uni-graz.at/o:szd.ontology#hasProvenanceFeature,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatPublikationsort,https://gams.uni-graz.at/o:szd.ontology#hasPublicationPlace,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatSchreiberhand,https://gams.uni-graz.at/o:szd.ontology#scribalHand,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatTeil,https://gams.uni-graz.at/o:szd.ontology#hasPart,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatUebersetzer,https://gams.uni-graz.at/o:szd.ontology#translator,GAMS term,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatUmfang,https://gams.uni-graz.at/o:szd.ontology#extent,GAMS term,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatVerlag,https://gams.uni-graz.at/o:szd.ontology#hasPublisher,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatVorbesitzer,https://gams.uni-graz.at/o:szd.ontology#previousOwner,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#hatVorwortAutor,https://gams.uni-graz.at/o:szd.ontology#writerForeword,GAMS term,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#istAdaptionVon,https://gams.uni-graz.at/o:szd.ontology#isAdaptationOf,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#istManifestationVon,https://gams.uni-graz.at/o:szd.ontology#relationToWork,GAMS term,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#istNachdruckVon,https://gams.uni-graz.at/o:szd.ontology#isReprintOf,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#istTeilVon,https://gams.uni-graz.at/o:szd.ontology#isPartOf,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#istTeilVonWerk,https://gams.uni-graz.at/o:szd.ontology#isPartOfWork,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#istUebersetzungVon,https://gams.uni-graz.at/o:szd.ontology#isTranslationOf,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#sieheAuch,https://gams.uni-graz.at/o:szd.ontology#seeAlso,English label,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#wirdAufbewahrtIn,https://gams.uni-graz.at/o:szd.ontology#location,GAMS term,
szdo,ObjectProperty,https://gams.uni-graz.at/o:szd.ontology#wirdBehandeltIn,https://gams.uni-graz.at/o:szd.ontology#isSubjectOf,English label,
nachlass,Class,https://w3id.org/nachlass#Akteur,https://w3id.org/nachlass#Agent,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Aufbewahrungsort,https://w3id.org/nachlass#Repository,generic English name,
nachlass,Class,https://w3id.org/nachlass#Begegnung,https://w3id.org/nachlass#Encounter,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Beilage,https://w3id.org/nachlass#Enclosure,same as szdo,
nachlass,Class,https://w3id.org/nachlass#BiographischesEreignis,https://w3id.org/nachlass#BiographicalEvent,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Buch,https://w3id.org/nachlass#Book,same as szdo,
nachlass,Class,https://w3id.org/nachlass#DigitalesObjekt,https://w3id.org/nachlass#DigitalObject,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Entstehungsort,https://w3id.org/nachlass#PlaceOfOrigin,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Exemplar,https://w3id.org/nachlass#Item,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Exilereignis,https://w3id.org/nachlass#ExileEvent,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Faksimile,https://w3id.org/nachlass#Facsimile,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Geburt,https://w3id.org/nachlass#Birth,same as szdo,
nachlass,Class,https://w3id.org/nachlass#GeographischerOrt,https://w3id.org/nachlass#GeographicalPlace,same as szdo,
nachlass,Class,https://w3id.org/nachlass#InstitutionellesEreignis,https://w3id.org/nachlass#InstitutionalEvent,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Konvolut,https://w3id.org/nachlass#Ensemble,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Korrekturfahne,https://w3id.org/nachlass#GalleyProof,same as szdo,
nachlass,Class,https://w3id.org/nachlass#KorrespondenzKonvolut,https://w3id.org/nachlass#BundleOfCorrespondence,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Lebensdokument,https://w3id.org/nachlass#PersonalDocument,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Manuskript,https://w3id.org/nachlass#Manuscript,same as szdo,
nachlass,Class,https://w3id.org/nachlass#METSObjekt,https://w3id.org/nachlass#METSObject,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Nachlass,https://w3id.org/nachlass#Estate,same as szdo,
nachlass,Class,https://w3id.org/nachlass#NachlassObjekt,https://w3id.org/nachlass#Record,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Notizbuch,https://w3id.org/nachlass#Notebook,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Ort,https://w3id.org/nachlass#Place,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Provenienzereignis,https://w3id.org/nachlass#ProvenanceEvent,same as szdo,
nachlass,Class,https://w3id.org/nachlass#ProvenienzmerkmalInstanz,https://w3id.org/nachlass#ProvenanceFeatureInstance,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Publikationsereignis,https://w3id.org/nachlass#PublicationEvent,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Reise,https://w3id.org/nachlass#Journey,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Sammlung,https://w3id.org/nachlass#Collection,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Sekundaerliteratur,https://w3id.org/nachlass#SecondaryLiterature,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Tod,https://w3id.org/nachlass#Death,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Typoskript,https://w3id.org/nachlass#Typescript,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Typoskriptdurchschlag,https://w3id.org/nachlass#CarbonCopyTypescript,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Umfang,https://w3id.org/nachlass#Extent,same as szdo,
nachlass,Class,https://w3id.org/nachlass#Werk,https://w3id.org/nachlass#Work,generic English name,
nachlass,Class,https://w3id.org/nachlass#WerkExpression,https://w3id.org/nachlass#Expression,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#anmerkung,https://w3id.org/nachlass#note,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#aufschrift,https://w3id.org/nachlass#identifyingInscription,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#beschreibstoff,https://w3id.org/nachlass#writingMaterial,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#beschreibung,https://w3id.org/nachlass#description,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#bindung,https://w3id.org/nachlass#binding,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#blattanzahl,https://w3id.org/nachlass#leafCount,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#datum,https://w3id.org/nachlass#date,generic English name,
nachlass,DatatypeProperty,https://w3id.org/nachlass#entstehungsdatum,https://w3id.org/nachlass#dateOfCreation,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#fruehestensDatum,https://w3id.org/nachlass#notBefore,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#geburtsdatum,https://w3id.org/nachlass#dateOfBirth,generic English name,
nachlass,DatatypeProperty,https://w3id.org/nachlass#kategorie,https://w3id.org/nachlass#category,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#nachname,https://w3id.org/nachlass#surname,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#namensform,https://w3id.org/nachlass#nameVariant,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#objekttyp,https://w3id.org/nachlass#objectType,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#originaltitel,https://w3id.org/nachlass#originalTitle,generic English name,
nachlass,DatatypeProperty,https://w3id.org/nachlass#publikationsdatum,https://w3id.org/nachlass#dateOfPublication,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#schreibstoff,https://w3id.org/nachlass#writingInstrument,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#seitenanzahl,https://w3id.org/nachlass#pageCount,generic English name,
nachlass,DatatypeProperty,https://w3id.org/nachlass#sicherheitsgrad,https://w3id.org/nachlass#certainty,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#signatur,https://w3id.org/nachlass#shelfmark,generic English name,
nachlass,DatatypeProperty,https://w3id.org/nachlass#spaetestensDatum,https://w3id.org/nachlass#notAfter,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#sprache,https://w3id.org/nachlass#language,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#stueckanzahl,https://w3id.org/nachlass#pieceCount,generic English name,
nachlass,DatatypeProperty,https://w3id.org/nachlass#titel,https://w3id.org/nachlass#title,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#todesdatum,https://w3id.org/nachlass#dateOfDeath,generic English name,
nachlass,DatatypeProperty,https://w3id.org/nachlass#vorname,https://w3id.org/nachlass#forename,same as szdo,
nachlass,DatatypeProperty,https://w3id.org/nachlass#zusammenfassung,https://w3id.org/nachlass#summary,same as szdo,
nachlass,ObjectProperty,https://w3id.org/nachlass#betrifftPerson,https://w3id.org/nachlass#concernsPerson,same as szdo,
nachlass,ObjectProperty,https://w3id.org/nachlass#datumEvidenz,https://w3id.org/nachlass#dateEvidence,same as szdo,
nachlass,ObjectProperty,https://w3id.org/nachlass#enthaelt,https://w3id.org/nachlass#contains,same as szdo,
nachlass,ObjectProperty,https://w3id.org/nachlass#enthaeltObjekt,https://w3id.org/nachlass#containsRecord,same as szdo,
nachlass,ObjectProperty,https://w3id.org/nachlass#hatAbsender,https://w3id.org/nachlass#sender,same as szdo,
